node_id,timestamp,air_temperature_C,relative_humidity_pct,air_pressure_hPa,wind_speed_ms,wind_direction_deg,leaf_wetness_pct,soil_moisture_pct,solar_radiation_Wm2,battery_voltage_V
SB-014,2010-01-01 07:40:00,13.89,79.22,1017.81,4.17,192.3,32.5,37.11,314.8,3.74
SB-017,2010-01-01 07:50:00,13.53,88.2,1007.25,0.37,48.7,31.2,36.79,406.5,3.42
SB-004,2010-01-01 08:00:00,12.89,95.95,1013.76,3.64,181.4,40.1,39.85,400.8,3.53
SB-018,2010-01-01 08:10:00,12.4,87.63,1010.86,2.04,19.2,1.1,40.15,484.0,3.65
SB-008,2010-01-01 08:20:00,14.84,88.11,1017.63,1.21,113.5,0.1,29.97,449.9,3.78
SB-004,2010-01-01 08:30:00,13.61,93.21,1023.12,0.48,22.8,0.0,41.07,533.5,3.4
SB-002,2010-01-01 08:40:00,11.69,89.9,1014.2,3.86,84.1,5.8,30.51,551.9,3.59
SB-006,2010-01-01 08:50:00,14.99,89.31,1014.8,3.57,36.6,8.1,28.64,556.4,3.28
SB-010,2010-01-01 09:00:00,12.37,86.86,1009.51,7.74,99.1,21.6,49.96,580.2,3.4
SB-004,2010-01-01 09:10:00,12.79,82.7,1014.54,2.71,175.0,0.0,24.6,507.8,3.65
SB-018,2010-01-01 09:20:00,14.83,82.88,1016.98,2.56,10.9,11.3,43.57,660.6,3.65
SB-012,2010-01-01 09:30:00,15.92,83.04,1014.19,0.42,72.4,0.0,29.39,630.2,3.63
SB-002,2010-01-01 09:40:00,15.63,89.97,1016.08,3.47,172.8,7.5,40.71,623.8,3.35
SB-010,2010-01-01 09:50:00,14.47,86.94,1011.38,0.86,250.1,18.4,40.68,731.7,3.83
SB-004,2010-01-01 10:00:00,14.86,81.06,1013.63,1.7,64.3,0.9,36.6,683.2,3.79
SB-014,2010-01-01 10:10:00,17.12,87.86,1014.68,0.29,67.7,3.5,41.84,681.8,3.56
SB-016,2010-01-01 10:20:00,15.12,90.42,1020.07,0.76,240.3,13.1,34.85,723.9,3.31
SB-015,2010-01-01 10:30:00,17.59,84.69,1009.23,3.83,324.2,7.4,29.31,657.8,3.64
SB-008,2010-01-01 10:40:00,13.78,84.39,1012.27,3.26,260.4,24.6,38.07,779.4,3.4
SB-014,2010-01-01 10:50:00,15.68,77.12,1009.39,1.04,299.3,0.0,41.81,772.8,3.59
SB-008,2010-01-01 11:00:00,14.12,90.5,1016.78,3.47,215.4,0.0,42.15,762.6,3.37
SB-016,2010-01-01 11:10:00,15.61,88.79,1005.09,2.93,106.0,7.3,32.18,808.5,3.57
SB-013,2010-01-01 11:20:00,16.34,81.24,1010.15,2.96,245.7,0.0,19.8,768.5,3.94
SB-018,2010-01-01 11:30:00,18.24,87.04,1008.35,1.51,289.6,0.0,27.23,851.4,3.54
SB-015,2010-01-01 11:40:00,17.83,81.43,1011.7,3.07,172.3,15.6,48.83,754.5,3.41
SB-013,2010-01-01 11:50:00,15.87,76.7,1014.43,5.42,194.6,13.1,39.0,843.3,3.49
SB-009,2010-01-01 12:00:00,16.39,86.46,1016.48,0.89,309.9,19.2,33.68,889.0,3.47
SB-015,2010-01-01 12:10:00,17.71,87.31,1014.46,4.17,165.6,3.9,40.44,831.1,3.36
SB-013,2010-01-01 12:20:00,18.13,84.16,1016.16,2.64,53.9,0.0,26.78,832.1,3.57
SB-001,2010-01-01 12:30:00,15.58,76.63,1011.21,4.43,352.3,0.0,32.8,847.1,3.65
SB-007,2010-01-01 12:40:00,17.25,71.3,1013.56,4.66,231.1,2.8,37.97,905.0,3.89
SB-009,2010-01-01 12:50:00,17.48,82.61,1019.69,2.38,359.2,7.3,31.37,886.4,3.81
SB-001,2010-01-01 13:00:00,16.02,73.61,1016.58,4.29,22.2,0.5,30.21,793.1,3.64
SB-012,2010-01-01 13:10:00,19.68,83.93,1003.37,3.1,316.7,0.1,34.47,821.6,3.73
SB-008,2010-01-01 13:20:00,14.71,79.16,1015.62,1.67,130.9,7.8,50.42,793.6,3.46
SB-011,2010-01-01 13:30:00,16.71,77.68,1005.13,2.42,304.5,0.0,42.06,767.5,3.33
SB-019,2010-01-01 13:40:00,15.6,65.69,1011.53,1.53,57.7,5.8,41.72,753.9,3.65
SB-017,2010-01-01 13:50:00,18.0,75.54,1013.67,2.41,294.0,3.7,34.93,677.6,3.53
SB-008,2010-01-01 14:00:00,15.99,73.66,1009.87,5.77,278.2,15.1,35.65,668.5,3.68
SB-003,2010-01-01 14:10:00,17.69,,1013.0,0.06,57.0,10.0,35.55,721.1,4.0
SB-003,2010-01-01 14:20:00,17.5,70.55,1015.92,2.35,211.0,5.2,30.34,606.9,3.35
SB-001,2010-01-01 14:30:00,18.79,78.29,1016.44,3.06,119.7,2.4,33.65,624.6,3.44
SB-005,2010-01-01 14:40:00,18.52,69.93,1011.58,0.15,35.5,11.6,40.1,678.6,3.68
SB-010,2010-01-01 14:50:00,16.74,69.6,1011.45,1.12,183.4,21.0,30.47,732.3,3.63
SB-007,2010-01-01 15:00:00,18.55,66.97,1013.78,2.33,28.3,1.1,35.54,593.5,3.62
SB-009,2010-01-01 15:10:00,19.47,64.11,1006.53,2.91,253.9,0.0,21.06,542.9,3.72
SB-007,2010-01-01 15:20:00,17.05,74.96,1015.32,1.12,333.4,4.6,32.5,469.2,3.94
SB-009,2010-01-01 15:30:00,16.6,70.24,1019.56,2.87,353.1,8.8,42.07,500.7,4.01
SB-008,2010-01-01 15:40:00,17.75,82.59,1014.79,3.38,117.4,0.0,38.01,470.2,3.62
SB-012,2010-01-01 15:50:00,16.95,72.17,1007.11,3.91,84.3,5.9,30.34,391.1,3.56
SB-002,2010-01-01 16:00:00,18.16,67.53,1009.08,2.95,293.1,0.0,39.51,405.7,3.28
SB-001,2010-01-01 16:10:00,19.87,61.13,1021.73,2.43,219.2,5.5,36.29,402.6,3.66
SB-016,2010-01-01 16:20:00,17.34,59.71,1016.62,1.48,306.8,25.0,33.16,357.9,3.74
SB-005,2010-01-01 16:30:00,16.0,71.9,1013.88,2.48,92.1,4.6,36.19,317.8,3.55
SB-003,2010-01-01 16:40:00,17.81,63.78,1017.34,1.13,206.5,15.0,44.23,165.3,3.4
SB-012,2010-01-01 16:50:00,17.2,57.96,1015.6,4.4,293.4,4.1,31.1,256.9,3.57
SB-008,2010-01-01 17:00:00,18.47,64.84,1010.62,2.85,156.5,12.6,33.75,209.6,3.75
SB-003,2010-01-01 17:10:00,17.87,67.06,1019.29,3.89,201.9,0.0,29.77,149.2,3.39
SB-001,2010-01-01 17:20:00,17.55,67.68,1017.64,2.83,84.4,15.2,40.77,146.8,3.87
SB-003,2010-01-01 17:30:00,17.42,58.48,1013.05,3.42,345.6,12.6,41.48,15.0,3.91
SB-005,2010-01-01 17:40:00,18.53,59.25,1011.41,0.89,340.6,0.6,52.56,44.9,3.9
SB-015,2010-01-01 17:50:00,16.85,69.88,1015.25,1.88,97.4,0.6,34.23,33.1,3.36
SB-014,2010-01-01 18:00:00,17.67,56.83,1012.33,1.01,304.8,4.9,33.74,90.1,3.48
SB-003,2010-01-01 18:10:00,18.13,65.32,1012.01,3.0,150.5,0.0,34.37,0.0,3.21
SB-001,2010-01-01 18:20:00,16.7,65.54,1004.75,3.56,326.0,24.0,43.58,0.0,3.42
SB-005,2010-01-01 18:30:00,16.51,63.11,1012.81,1.04,125.1,4.7,32.59,0.0,3.67
SB-014,2010-01-01 18:40:00,16.88,57.59,1013.66,3.86,144.4,0.0,31.14,0.0,3.54
SB-007,2010-01-01 18:50:00,14.54,67.04,1008.39,2.24,274.5,0.7,37.59,0.0,3.68
SB-009,2010-01-01 19:00:00,17.52,54.54,1014.59,2.71,206.7,14.4,25.4,0.0,3.71
SB-015,2010-01-01 19:10:00,14.18,59.19,1010.16,0.73,324.7,17.4,46.27,0.0,3.53
SB-015,2010-01-01 19:20:00,14.94,64.59,1011.06,1.69,192.2,9.1,37.53,0.0,3.56
SB-010,2010-01-01 19:30:00,16.32,63.25,1012.36,3.33,339.0,17.0,27.72,0.0,3.73
SB-013,2010-01-01 19:40:00,12.66,61.68,1014.22,6.59,307.4,9.3,50.55,0.0,3.32
SB-019,2010-01-01 19:50:00,13.97,64.18,1011.02,5.59,40.5,8.3,37.56,0.0,3.19
SB-007,2010-01-01 20:00:00,18.47,53.87,1016.07,3.59,351.4,0.0,28.43,0.0,3.81
SB-017,2010-01-01 20:10:00,15.55,50.22,1014.66,2.31,181.6,14.1,41.74,0.0,3.68
SB-020,2010-01-01 20:20:00,15.65,55.42,1015.2,3.7,95.6,0.0,19.35,0.0,3.07
SB-004,2010-01-01 20:30:00,14.03,55.37,1016.83,0.51,269.8,14.3,32.03,0.0,3.67
SB-005,2010-01-01 20:40:00,14.15,61.68,1015.17,2.74,248.2,0.0,38.94,0.0,3.12
SB-007,2010-01-01 20:50:00,13.19,63.33,1012.33,3.48,60.9,3.3,43.4,0.0,3.7
SB-013,2010-01-01 21:00:00,16.31,48.19,1007.05,2.85,333.7,2.5,34.03,0.0,3.88
SB-015,2010-01-01 21:10:00,14.76,65.78,1008.33,3.38,106.0,0.3,30.97,0.0,3.61
SB-011,2010-01-01 21:20:00,11.77,63.63,1011.71,2.27,0.2,27.5,35.08,0.0,3.83
SB-004,2010-01-01 21:30:00,13.78,58.35,1013.14,0.86,254.3,0.0,45.23,0.0,3.65
SB-013,2010-01-01 21:40:00,15.64,58.03,1009.05,2.95,5.2,16.7,35.87,0.0,3.64
SB-007,2010-01-01 21:50:00,12.2,59.37,1016.45,2.19,139.9,15.1,29.47,0.0,3.39
SB-019,2010-01-01 22:00:00,11.86,58.26,1012.98,0.72,60.0,15.7,32.11,0.0,3.66
SB-002,2010-01-01 22:10:00,15.25,54.4,1008.02,2.14,27.9,8.8,31.72,0.0,3.78
SB-010,2010-01-01 22:20:00,13.04,58.1,1017.39,3.44,9.9,18.9,38.12,0.0,3.66
SB-013,2010-01-01 22:30:00,11.25,66.61,1010.22,3.96,94.1,0.2,38.58,0.0,3.62
SB-006,2010-01-01 22:40:00,13.09,61.88,1006.51,3.39,178.1,15.7,40.93,0.0,3.41
SB-012,2010-01-01 22:50:00,10.45,65.16,1008.75,3.79,273.8,30.0,32.6,0.0,3.3
SB-012,2010-01-01 23:00:00,12.59,67.74,1014.2,0.51,347.9,0.0,26.63,0.0,3.67
SB-020,2010-01-01 23:10:00,10.74,64.92,1014.18,3.03,137.3,0.0,45.6,0.0,3.67
SB-011,2010-01-01 23:20:00,11.6,63.06,1018.21,2.05,18.7,2.9,40.25,0.0,3.75
SB-007,2010-01-01 23:30:00,12.49,61.45,1011.35,1.34,212.3,23.4,37.88,0.0,3.69
SB-001,2010-01-01 23:40:00,11.69,63.5,1015.62,3.87,337.6,15.5,23.65,0.0,3.47
SB-001,2010-01-01 23:50:00,9.65,72.37,1011.44,3.82,185.5,9.1,38.53,0.0,3.52
SB-020,2010-01-02 00:00:00,11.74,68.58,1009.19,0.06,156.4,36.1,34.99,0.0,3.86
SB-013,2010-01-02 00:10:00,10.35,76.35,1014.05,6.35,289.7,29.3,38.6,0.0,3.53
SB-009,2010-01-02 00:20:00,10.31,63.77,1020.37,2.37,55.5,39.3,38.49,0.0,3.44
SB-003,2010-01-02 00:30:00,10.69,79.44,1015.29,0.77,238.7,40.3,39.53,0.0,3.92
SB-007,2010-01-02 00:40:00,11.25,65.0,1017.22,3.5,305.6,27.7,39.17,0.0,3.29
SB-006,2010-01-02 00:50:00,9.95,62.56,1010.37,3.72,276.6,38.9,33.1,0.0,3.57
SB-008,2010-01-02 01:00:00,11.62,63.2,1014.29,2.89,102.0,20.1,35.58,0.0,3.76
SB-009,2010-01-02 01:10:00,9.15,68.55,1016.74,2.03,17.3,26.7,44.13,0.0,3.71
SB-005,2010-01-02 01:20:00,8.85,78.07,1019.31,3.44,195.8,30.8,43.44,0.0,3.77
SB-001,2010-01-02 01:30:00,12.18,65.85,1011.14,3.38,119.4,18.5,43.48,0.0,3.13
SB-019,2010-01-02 01:40:00,8.07,68.06,1010.87,2.49,11.6,24.8,41.66,0.0,3.58
SB-010,2010-01-02 01:50:00,10.12,77.05,1016.06,2.26,191.1,39.0,31.95,0.0,3.63
SB-012,2010-01-02 02:00:00,10.89,70.94,1013.22,0.18,185.2,40.4,40.43,0.0,3.86
SB-015,2010-01-02 02:10:00,9.55,73.05,1014.09,3.15,326.9,29.1,36.05,0.0,3.58
SB-009,2010-01-02 02:20:00,9.92,74.39,1015.24,0.7,322.8,30.3,33.55,0.0,3.96
SB-020,2010-01-02 02:30:00,10.3,70.0,1017.56,2.64,56.1,39.4,20.75,0.0,3.66
SB-017,2010-01-02 02:40:00,8.64,71.3,1012.11,3.71,75.6,36.3,34.61,0.0,3.63
SB-017,2010-01-02 02:50:00,9.74,78.88,1012.98,3.32,192.7,22.2,40.92,0.0,3.69
SB-020,2010-01-02 03:00:00,10.39,86.7,1014.05,3.18,1.6,23.4,39.04,0.0,3.37
SB-012,2010-01-02 03:10:00,7.64,86.31,1018.0,2.32,174.8,26.5,39.38,0.0,3.94
SB-007,2010-01-02 03:20:00,12.16,67.36,1019.38,2.14,156.2,34.2,31.96,0.0,3.38
SB-002,2010-01-02 03:30:00,10.97,78.04,1010.42,0.03,239.3,33.1,53.41,0.0,3.78
SB-003,2010-01-02 03:40:00,12.1,78.49,1011.03,2.07,0.9,29.7,26.5,0.0,3.81
SB-017,2010-01-02 03:50:00,9.02,77.73,1008.52,2.34,229.7,26.0,38.79,0.0,3.37
SB-005,2010-01-02 04:00:00,10.3,88.73,1016.57,1.49,180.9,52.9,33.57,0.0,3.57
SB-017,2010-01-02 04:10:00,10.77,82.05,1007.2,2.37,322.9,10.7,42.3,0.0,3.5
SB-017,2010-01-02 04:20:00,9.7,73.85,1011.52,4.47,324.5,34.8,31.65,0.0,3.84
SB-017,2010-01-02 04:30:00,9.32,86.45,1013.55,1.29,131.4,34.5,33.04,0.0,3.83
SB-002,2010-01-02 04:40:00,11.95,80.48,1008.19,3.27,293.0,27.9,43.32,0.0,3.39
SB-002,2010-01-02 04:50:00,13.09,86.68,1010.31,0.97,256.6,27.5,32.59,0.0,3.6
SB-005,2010-01-02 05:00:00,12.02,86.92,1018.58,0.24,342.3,27.7,45.79,0.0,3.79
SB-001,2010-01-02 05:10:00,11.14,87.64,1010.54,2.26,126.5,15.2,30.36,0.0,3.55
SB-001,2010-01-02 05:20:00,11.17,86.57,1021.92,3.14,83.2,27.3,26.88,0.0,3.83
SB-019,2010-01-02 05:30:00,11.53,84.13,1008.59,0.76,161.9,38.4,32.14,0.0,3.4
SB-002,2010-01-02 05:40:00,9.8,79.89,1013.24,2.02,284.5,28.9,36.57,0.0,4.05
SB-012,2010-01-02 05:50:00,14.32,99.36,1012.81,0.84,212.5,24.9,41.14,0.0,3.32
SB-006,2010-01-02 06:00:00,10.77,90.15,1012.54,1.4,242.0,30.9,41.6,26.7,3.63
SB-004,2010-01-02 06:10:00,11.06,86.81,1016.07,2.36,61.9,35.4,31.25,123.0,3.64
SB-011,2010-01-02 06:20:00,11.43,86.42,1017.4,3.02,319.9,28.9,40.86,33.0,3.4
SB-017,2010-01-02 06:30:00,13.08,90.71,1010.58,1.94,295.0,21.4,39.71,91.0,3.93
SB-006,2010-01-02 06:40:00,11.18,82.62,1014.91,1.27,255.1,30.0,29.55,141.6,3.84
SB-005,2010-01-02 06:50:00,10.7,95.76,1022.33,4.4,287.7,44.5,26.67,55.9,3.6
SB-020,2010-01-02 07:00:00,10.57,86.05,1009.3,4.8,313.8,46.2,35.88,143.9,3.34
SB-002,2010-01-02 07:10:00,10.93,81.66,1016.53,1.21,181.4,40.0,38.26,220.7,3.62
SB-006,2010-01-02 07:20:00,11.05,96.52,1010.57,3.71,22.8,37.3,35.25,330.7,3.57
SB-011,2010-01-02 07:30:00,12.68,87.99,1014.58,2.56,232.6,28.0,35.99,246.5,3.32
SB-016,2010-01-02 07:40:00,13.09,88.71,1013.69,0.26,157.0,34.8,37.56,374.1,3.6
SB-016,2010-01-02 07:50:00,10.18,78.24,1010.35,3.18,343.0,25.1,31.39,402.0,3.65
SB-001,2010-01-02 08:00:00,11.77,87.91,1015.14,2.43,299.2,2.2,40.2,436.8,3.65
SB-009,2010-01-02 08:10:00,10.32,91.1,1017.68,0.43,131.4,2.3,39.3,454.6,3.55
SB-006,2010-01-02 08:20:00,14.2,83.53,1013.07,1.04,310.8,2.3,29.24,470.6,3.66
SB-016,2010-01-02 08:30:00,12.75,95.86,1015.61,0.41,98.8,13.4,35.21,519.4,3.61
SB-003,2010-01-02 08:40:00,14.14,93.24,1014.97,3.83,343.3,0.0,31.02,551.2,3.86
SB-020,2010-01-02 08:50:00,14.35,85.26,1008.03,2.44,129.2,2.8,29.93,543.5,3.5
SB-004,2010-01-02 09:00:00,15.66,87.31,1012.67,2.91,288.7,14.1,28.25,566.1,3.72
SB-019,2010-01-02 09:10:00,15.05,99.72,1011.91,3.29,55.8,0.0,41.27,547.5,3.47
SB-003,2010-01-02 09:20:00,13.46,90.88,1006.81,1.9,62.4,0.0,40.27,706.2,3.69
SB-019,2010-01-02 09:30:00,13.32,95.05,1012.75,1.35,239.5,10.4,32.27,610.5,3.79
SB-020,2010-01-02 09:40:00,15.49,86.99,1015.25,0.5,189.2,9.9,33.96,700.5,3.5
SB-007,2010-01-02 09:50:00,14.46,96.14,1013.02,3.87,43.4,0.0,29.93,654.8,3.48
SB-020,2010-01-02 10:00:00,17.44,87.7,1007.64,1.71,262.8,15.2,27.65,595.3,3.64
SB-009,2010-01-02 10:10:00,15.65,94.35,1014.51,1.97,93.1,18.7,28.84,701.1,3.61
SB-001,2010-01-02 10:20:00,13.76,82.83,1021.52,1.86,55.8,16.1,38.85,723.0,4.03
SB-008,2010-01-02 10:30:00,15.21,87.81,1015.82,3.26,36.5,13.6,34.66,748.0,3.41
SB-007,2010-01-02 10:40:00,13.81,83.89,998.22,3.59,356.8,10.7,31.91,798.8,3.55
SB-018,2010-01-02 10:50:00,14.99,86.25,1007.34,2.94,168.2,0.0,45.77,707.8,3.58
SB-008,2010-01-02 11:00:00,15.17,94.8,1005.82,3.2,187.2,17.8,28.9,818.7,3.41
SB-001,2010-01-02 11:10:00,16.32,79.24,1014.2,0.01,97.2,18.0,34.77,849.5,3.53
SB-011,2010-01-02 11:20:00,15.59,89.89,1017.94,3.14,177.3,19.9,41.6,778.5,3.5
SB-018,2010-01-02 11:30:00,15.58,88.14,1013.08,2.96,78.4,0.0,33.11,892.0,3.59
SB-010,2010-01-02 11:40:00,17.39,82.11,1015.91,2.39,124.2,13.7,44.42,838.7,3.72
SB-003,2010-01-02 11:50:00,19.58,78.42,1014.04,3.23,212.9,0.0,47.18,764.2,3.73
SB-007,2010-01-02 12:00:00,18.51,78.97,1013.45,1.95,233.8,0.0,35.65,760.3,4.13
SB-016,2010-01-02 12:10:00,17.83,78.84,1017.45,2.02,270.7,0.0,44.43,840.7,3.31
SB-016,2010-01-02 12:20:00,15.33,87.73,1011.24,1.55,124.0,8.2,34.3,812.8,3.7
SB-020,2010-01-02 12:30:00,15.84,78.55,1009.07,3.46,218.6,15.2,31.17,810.8,3.54
SB-017,2010-01-02 12:40:00,17.23,72.04,1016.58,0.89,134.8,0.0,34.79,745.8,3.3
SB-002,2010-01-02 12:50:00,17.2,78.19,1013.39,3.13,348.9,13.5,35.87,792.6,3.95
SB-001,2010-01-02 13:00:00,15.24,76.3,1013.98,1.6,297.7,6.5,34.81,749.6,3.57
SB-016,2010-01-02 13:10:00,18.26,71.12,1010.73,2.39,348.6,0.0,41.12,808.2,3.17
SB-012,2010-01-02 13:20:00,15.72,,1014.27,2.08,345.6,0.0,24.65,716.7,3.43
SB-005,2010-01-02 13:30:00,19.23,78.82,1015.3,4.89,277.0,12.9,20.62,771.0,3.44
SB-005,2010-01-02 13:40:00,18.66,76.84,1015.08,0.37,72.7,0.0,40.42,794.6,3.75
SB-009,2010-01-02 13:50:00,18.2,78.34,1006.12,5.88,28.3,33.2,35.84,639.8,3.76
SB-009,2010-01-02 14:00:00,19.1,71.75,1012.93,4.39,3.8,4.0,47.6,709.0,3.45
SB-003,2010-01-02 14:10:00,17.23,75.43,1012.68,2.26,114.5,2.4,35.89,612.7,3.4
SB-019,2010-01-02 14:20:00,17.84,80.49,1013.96,2.82,319.4,16.1,37.74,693.7,3.93
SB-016,2010-01-02 14:30:00,16.83,73.04,1016.22,2.07,108.8,2.4,24.28,615.4,3.7
SB-016,2010-01-02 14:40:00,16.36,77.83,1015.73,2.5,332.6,1.5,40.3,572.4,3.95
SB-003,2010-01-02 14:50:00,17.59,79.5,1014.22,3.64,197.6,1.3,34.96,588.9,3.62
SB-020,2010-01-02 15:00:00,17.18,70.96,1013.85,0.29,73.8,7.7,40.97,541.4,3.2
SB-001,2010-01-02 15:10:00,16.08,70.61,1013.25,3.28,232.5,22.2,38.29,631.6,3.63
SB-020,2010-01-02 15:20:00,19.78,70.95,1013.96,4.25,67.8,2.2,25.65,505.2,3.4
SB-011,2010-01-02 15:30:00,19.71,58.96,1015.4,3.72,155.0,11.9,32.77,533.8,3.64
SB-017,2010-01-02 15:40:00,19.03,71.14,1015.91,0.51,342.4,8.8,45.12,461.0,3.28
SB-008,2010-01-02 15:50:00,16.56,68.11,1018.54,2.55,85.0,0.0,35.54,412.4,3.82
SB-004,2010-01-02 16:00:00,17.66,66.01,1013.69,4.72,163.2,7.5,38.72,391.8,3.54
SB-006,2010-01-02 16:10:00,18.8,60.73,1013.62,2.38,203.1,15.2,36.76,323.9,3.63
SB-008,2010-01-02 16:20:00,17.58,70.68,1015.15,1.56,119.4,22.5,29.81,390.6,3.47
SB-020,2010-01-02 16:30:00,18.7,68.66,1005.23,3.49,101.5,0.0,31.0,280.3,3.28
SB-003,2010-01-02 16:40:00,16.94,69.31,1014.65,0.42,143.4,0.0,32.18,270.8,3.52
SB-016,2010-01-02 16:50:00,18.11,69.23,1013.99,2.17,19.7,0.0,36.25,225.4,3.37
SB-003,2010-01-02 17:00:00,17.41,53.84,1014.19,4.08,356.2,28.6,44.78,219.1,3.72
SB-018,2010-01-02 17:10:00,17.79,60.08,1007.55,4.03,326.8,7.5,47.68,195.8,3.71
SB-014,2010-01-02 17:20:00,15.35,63.61,1016.08,1.42,3.8,6.4,32.12,121.4,3.26
SB-018,2010-01-02 17:30:00,17.24,70.37,1013.04,1.52,57.2,0.0,48.01,69.2,3.63
SB-002,2010-01-02 17:40:00,18.31,57.98,1012.74,0.85,109.7,13.3,38.85,125.3,3.61
